序号,提交答卷时间,所用时间,1、您目前就读于北京邮电大学吗？,2、您目前就读于北京邮电大学的哪个校区？,3、您曾经使用过北京邮电大学的“e键订餐”服务吗？,4、您为什么不使用“e键订餐”服务？(不知道如何使用),4、(习惯在食堂用餐),4、(在食堂不用支付打包费，更实惠),4、(觉得“e键订餐”的服务不够好（出餐时间、配送效率等）),4、(担心使用“e键订餐”服务的餐被他人拿走),4、(其他：),5、您为什么使用“e键订餐”服务？(不想在食堂排队),5、(喜欢在宿舍用餐),5、(时间紧张，来不及去食堂),5、(其他：),6、您使用“e键订餐”的频率大概是怎样的？请选择最接近的选项。,7、您日常通过“e键订餐”单次点餐的金额大概是什么范围？,8、您遭遇过丢餐（在页面上显示已送达，却无法找到自己的餐）的现象吗？,9、您大概丢过几次餐？,10、您在丢餐后的感受是怎样的？(没什么感觉),10、(悲伤),10、(委屈),10、(疑惑),10、(愤怒),10、(其他：),11、您觉得丢餐这件事对您来说怎么样？,12、您希望丢餐问题得到解决吗？,13、您对解决丢餐问题的期望有多迫切？,14、您在丢餐后一般会采取什么行动？(什么也不做，这顿不吃了),14、(自认倒霉，重新点一份),14、(拨打食堂/配送员电话，说明情况),14、(向宿舍管理员反馈),14、(去保卫处申请调查（如调用监控等）),14、(在社交媒体上表达情绪),14、(其他：),15、您为什么不寻求食堂/配送员或保卫处进行进一步反馈？(一顿饭而已，我不在乎),15、(没时间计较),15、(进一步反馈太麻烦了),15、(觉得反馈了也没有作用),15、(准备动用私人力量解决),15、(其他),16、您认为进一步反馈的哪些步骤比较麻烦？(食堂方：给食堂打电话),16、(食堂方：等待重新做一份饭及配送),16、(保卫处方：申请调用监控),16、(保卫处方：协助其调查),16、(其他：),17、您在拨打食堂/配送员电话后，得到过什么处理？(食堂/配送员提供相应的补偿（如重做一份，或第二天免费配送等）),17、(食堂/配送员表示丢餐不属于其责任范围),17、(食堂/配送员未做处理),17、(其他：),18、您在保卫处申请调查后，得到过什么处理？(找到了拿餐者，得到了满意的处理),18、(找到了拿餐者，但对处理结果不太满意),18、(由于监控死角，未找到拿餐者),18、(由于人员过多或不确定餐食初始位置，未找到拿餐者),18、(其他：),19、您相信部分拿餐者是因为看错信息，误拿了他人的餐吗？,20、您有因为看错信息，误拿过他人的餐吗？,21、您是因为什么原因拿错过餐？(看到小票上相同的姓氏就拿了),21、(看到相同的饭，以为是自己的),21、(其他：),22、您拿错餐并发现后采取了什么行动？(把饭再放回去),22、(干脆吃掉了),22、(顺着小票上的信息找到失主，进行道歉),22、(在社交软件上匿名道歉),22、(其他：),23、您愿意给”恶意拿餐者“机会吗？(我不愿意给机会，必须马上处理),23、(我觉得可以给一次机会，但是要记录在案),23、(其他：),24、您觉得应该如何处理“恶意拿餐者”？(不进行处理，仅要求恶意拿餐者进行道歉),24、(要求恶意拿餐者赔偿餐食金额),24、(要求恶意拿餐者撰写检讨书),24、(取消恶意拿餐者相关资格（保研资格、评优评先资格等）),24、(通报批评恶意拿餐者),24、(给予恶意拿餐者处分（警告、记过等）),24、(其他：),25、您认为目前的取餐方式是否有什么需要改进的地方？(没有需要改进的地方),25、(取餐不需要身份检验，安全性差),25、(餐食过多时，不便于查找),25、(高峰期取餐时过于拥挤),25、(其他：),26、您觉得可以怎样通过流程设计解决偷拿错拿的问题？（这是一个复杂的问题，您可以看看这些点子，尽管并不是所有的都具备很高的可行性。）(在楼下配置类似送餐柜的设施，刷卡取餐),26、(将餐食分拣到各楼层，减少错拿概率，也方便后续追踪),26、(给餐食分配不同颜色的标签，方便监控中进行追踪),26、(将餐食送至宿舍门口),26、(让宿舍管理员监督（如在取餐时随机抽查）),26、(安排学生义工，在用餐高峰期帮助分配),26、(使用类似快餐店的编号取餐制，用户展示取餐号，安排工作人员进行分配),26、(其他：),26、(我认为无法通过流程设计解决偷拿错拿的问题，必须采取惩罚措施),27、您目前居住在哪一栋宿舍楼？（如您不愿透露，请选择最后一项）,28、您对自己宿舍楼的“e键订餐”存餐点有什么针对性的建议吗？,29、您还有什么对于“e键订餐”的建议？（交互体验、配送效率、餐品包装……,30、您有什么对于问卷本身，或是本次调查的建议？（展示数据收集动态、应用的数据分析方法、组织形式、传播渠道……,31、您是在哪里得知这个问卷的？(社交软件的群聊),31、(QQ空间),31、(朋友圈),31、(校园墙),31、(BYR论坛),31、(贴吧),31、(微博),31、(小红书),31、(朋友通过社交软件私信),31、(朋友线下告知),31、(其他：),31、(线下海报),32、校验题：如何进入“e键订餐”服务？
57,2024/11/21 22:36:25,452秒,1,2,1,,,,,,,1,1,1,1,4,2,1,2,0,0,0,1,1,0,6,5,3,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,24,添加保温设备，冬天容易凉,配送检查一下餐具是否完好（之前开出过断掉的筷子）,(空),1,0,0,0,0,0,0,0,0,0,0,0,6
58,2024/11/21 22:37:24,91秒,1,1,1,,,,,,,0,0,1,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,11,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
59,2024/11/21 22:38:02,274秒,1,2,1,,,,,,,1,1,1,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,24,双倍赔偿就好了。 情节极其恶劣再通报处分。,建议严格按照送到时间做饭和送餐，提前点经常提前一小时之类到，饭都凉了。要快点的话看备注就好了,(空),1,0,0,0,0,0,0,0,0,0,0,0,6
60,2024/11/21 22:39:40,115秒,1,2,1,,,,,,,1,1,1,0,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,18,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
61,2024/11/21 22:41:49,213秒,1,2,1,,,,,,,1,1,0,0,5,3,1,2,0,1,1,1,1,0,4,5,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,,,,,,2,2,,,,,,,,,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17,(空),(空),(空),0,0,1,0,0,0,0,0,0,0,0,0,6
62,2024/11/21 22:42:15,308秒,1,2,1,,,,,,,1,1,1,0,4,3,1,2,0,0,0,1,1,0,4,5,4,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,20,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
63,2024/11/21 22:42:48,19秒,1,2,2,0,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
64,2024/11/21 22:48:33,155秒,1,2,1,,,,,,,0,1,1,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,15,凉的快,(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
65,2024/11/21 22:50:11,40秒,1,2,1,,,,,,,0,0,1,0,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,19,(空),(空),(空),0,1,1,0,0,0,0,0,0,0,0,0,6
66,2024/11/21 22:51:51,77秒,1,2,1,,,,,,,1,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,18,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
67,2024/11/21 22:52:11,101秒,1,2,1,,,,,,,0,0,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,20,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
68,2024/11/21 22:53:20,100秒,1,2,1,,,,,,,0,0,1,0,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,19,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
69,2024/11/21 22:55:39,14秒,1,2,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
70,2024/11/21 22:56:35,29秒,1,1,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
71,2024/11/21 23:00:31,109秒,1,2,1,,,,,,,0,1,1,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,24,无,无,无,1,0,0,0,0,0,0,0,0,0,0,0,6
72,2024/11/21 23:09:08,89秒,1,2,1,,,,,,,1,1,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,23,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
73,2024/11/21 23:09:34,194秒,1,2,1,,,,,,,0,0,1,0,4,1,1,2,0,1,1,1,1,0,4,5,5,0,0,1,0,0,1,0,0,0,0,1,1,0,,,,,,1,0,0,0,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,22,冬天饭凉的特别快,(空),(空),0,0,1,0,0,0,0,0,0,0,0,0,6
74,2024/11/21 23:14:11,136秒,1,2,1,,,,,,,1,1,1,0,4,2,1,1,0,1,1,0,1,0,4,5,5,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,22,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
75,2024/11/21 23:32:26,237秒,1,1,1,,,,,,,0,1,0,0,5,2,1,2,0,1,0,0,1,0,3,5,5,0,0,1,0,0,0,0,0,0,0,0,0,1,,,,,,1,0,0,0,,,,,,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,6,无,无,无,1,0,0,0,0,0,0,0,0,0,0,0,6
76,2024/11/22 0:02:23,266秒,1,1,1,,,,,,,0,1,0,0,1,3,1,1,0,1,1,1,1,0,4,5,5,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,5,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
77,2024/11/22 0:04:20,92秒,1,2,1,,,,,,,1,1,1,0,4,3,1,1,0,0,1,1,1,0,4,5,5,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,,,,,,,,,,2,2,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,15,(空),(空),(空),0,0,0,0,0,1,0,0,0,0,0,0,6
78,2024/11/22 0:08:00,87秒,1,2,1,,,,,,,1,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,23,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
79,2024/11/22 0:10:37,6秒,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2024/11/22 0:22:51,114秒,1,2,1,,,,,,,1,0,1,0,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,22,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
81,2024/11/22 0:27:08,226秒,1,1,1,,,,,,,1,1,0,0,3,3,1,2,1,0,0,1,0,0,1,5,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,1,2,,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
82,2024/11/22 0:28:51,6秒,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2024/11/22 0:38:41,261秒,1,2,1,,,,,,,1,1,0,0,5,3,1,2,0,0,0,0,1,0,4,5,5,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,希望惩罚力度加大,商家配送后及时通知订餐者,无,0,0,1,0,0,0,0,0,0,0,0,0,6
84,2024/11/22 0:49:18,11秒,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,2024/11/22 1:40:55,250秒,1,2,1,,,,,,,0,1,0,0,5,3,1,2,0,0,1,0,0,0,4,5,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,1,2,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,18,无,餐品实际送达之后再在e键上确认送达,(空),1,0,0,0,0,0,0,0,0,0,0,0,6
86,2024/11/22 7:19:08,278秒,1,2,1,,,,,,,0,1,0,0,4,3,1,1,0,0,0,1,0,0,2,5,4,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,1,2,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,14,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
87,2024/11/22 7:31:50,158秒,1,2,1,,,,,,,0,1,1,0,4,2,1,1,0,1,1,1,1,0,4,5,1,0,0,1,0,0,0,0,0,1,0,1,0,0,,,,,,1,0,0,0,,,,,,1,2,,,,,,,,,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,23,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
88,2024/11/22 8:13:26,8秒,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,2024/11/22 8:21:41,80秒,1,2,1,,,,,,,1,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,18,(空),(空),(空),0,0,0,0,0,1,0,0,0,0,0,0,6
90,2024/11/22 8:28:19,114秒,1,2,1,,,,,,,1,1,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,13,(空),(空),(空),0,0,1,0,0,0,0,0,0,0,0,0,6
91,2024/11/22 9:09:14,181秒,1,2,1,,,,,,,1,0,1,0,1,3,1,2,0,1,1,0,1,1,4,5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,,,,,,1,0,0,0,,,,,,2,2,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,24,太密密麻麻的了,配送效率低，甚至退钱都退不了,多传播,1,0,0,0,0,0,0,0,0,0,0,0,6
92,2024/11/22 9:10:40,93秒,1,2,1,,,,,,,0,0,1,0,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,20,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
93,2024/11/22 9:17:33,15秒,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,2024/11/22 9:50:40,261秒,1,2,1,,,,,,,0,0,1,0,4,1,1,1,0,0,1,1,0,0,3,5,5,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,,,,,,,,,,2,2,,,,,,,,,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,20,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
95,2024/11/22 10:07:24,94秒,1,2,1,,,,,,,1,0,0,0,5,3,1,2,0,1,1,1,1,0,3,5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,,,,,,1,2,,,,,,,,,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,22,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
96,2024/11/22 10:56:37,272秒,1,1,1,,,,,,,1,0,0,0,1,2,1,1,0,0,0,1,1,0,3,5,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,2,2,,,,,,,,,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
97,2024/11/22 12:57:36,15秒,1,2,2,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,0,
98,2024/11/22 13:19:40,114秒,1,2,1,,,,,,,0,0,1,0,4,3,1,2,0,1,1,1,1,0,4,5,5,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,23,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
99,2024/11/22 13:28:36,194秒,1,2,1,,,,,,,0,1,1,0,4,2,1,1,0,1,0,1,0,0,4,5,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,1,2,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,19,(空),(空),(空),0,1,0,0,1,0,0,0,0,0,0,0,6
100,2024/11/22 19:30:53,21秒,1,2,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
101,2024/11/22 19:32:01,60秒,1,1,1,,,,,,,1,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
102,2024/11/22 19:32:43,76秒,1,2,1,,,,,,,1,0,1,0,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,15,(空),(空),(空),0,1,0,0,0,0,0,0,0,0,0,0,6
103,2024/11/22 19:33:04,151秒,1,2,1,,,,,,,1,0,1,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,13,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
104,2024/11/22 19:33:13,163秒,1,2,1,,,,,,,0,0,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,15,(空),(空),如果真要弄外卖柜的话，后续我们雏雁计划要做人脸识别外卖柜，支持我们一下，如果做好的话。,1,0,0,0,0,0,0,0,0,0,0,0,6
105,2024/11/22 19:33:29,14秒,1,2,2,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
106,2024/11/22 19:35:23,21秒,1,1,2,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
107,2024/11/22 19:36:05,128秒,1,1,1,,,,,,,1,1,0,1,4,3,1,2,0,0,0,1,1,0,5,5,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,1,2,,,,,,,,,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
108,2024/11/22 19:36:10,134秒,1,1,1,,,,,,,1,0,0,0,4,2,1,2,0,0,0,0,1,0,4,5,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,,,,,,2,2,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,无,无,无,1,0,0,0,0,0,0,0,0,0,0,0,6
109,2024/11/22 19:36:38,118秒,1,1,1,,,,,,,1,0,0,0,4,2,1,2,0,0,0,0,1,0,4,5,5,0,0,1,0,0,1,0,0,0,0,0,0,1,,,,,,1,0,0,0,,,,,,2,2,,,,,,,,,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
110,2024/11/22 19:37:21,118秒,1,2,1,,,,,,,1,0,1,0,3,3,1,2,0,1,0,0,1,0,4,5,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,19,我感觉可以加一点方便追查的措施。还有就是沙河教工五楼超级容易丢餐。,(空),(空),0,1,1,0,0,0,0,0,0,0,0,0,6
111,2024/11/22 19:37:32,86秒,1,2,1,,,,,,,1,0,0,0,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
112,2024/11/22 19:38:50,143秒,1,2,1,,,,,,,0,0,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,22,捡漏，拥挤，希望能规划一下,餐品太昂贵了，希望南区也可以开通,QQ群挺好,1,0,0,0,0,0,0,0,0,0,0,0,6
113,2024/11/22 19:40:20,133秒,1,2,1,,,,,,,0,0,1,0,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
114,2024/11/22 19:40:25,201秒,1,2,1,,,,,,,1,0,1,0,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,18,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
115,2024/11/22 19:40:27,56秒,1,2,2,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,
116,2024/11/22 19:41:13,127秒,1,1,1,,,,,,,1,0,1,0,1,3,1,1,0,0,0,1,0,0,2,4,4,0,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,1,0,0,0,,,,,,1,2,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
117,2024/11/22 19:41:18,214秒,1,2,1,,,,,,,1,1,0,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,22,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
118,2024/11/22 19:42:34,105秒,1,2,1,,,,,,,1,1,1,0,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,22,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
119,2024/11/22 19:43:22,688秒,1,2,1,,,,,,,1,1,1,0,1,2,1,1,0,0,1,1,1,0,4,5,5,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,20,建议把桌子改为多层货架，可以放更多餐，也可以方便分类、分编号摆放,一间订餐小程序的配送员应该有一个拍照上传功能：送餐到达后可以拍一张照片，方便同学寻找,建议在公开数据的同时，也展示向校方反馈后的处理流程和结果,1,0,0,0,0,0,0,0,0,0,0,0,6
120,2024/11/22 20:02:57,103秒,1,1,1,,,,,,,0,1,0,0,5,3,1,1,0,0,0,0,1,0,4,5,5,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,24,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
121,2024/11/22 20:06:07,106秒,1,2,1,,,,,,,1,0,1,0,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,13,(空),(空),(空),1,1,0,0,0,0,0,0,0,0,0,0,6
122,2024/11/22 21:11:47,194秒,1,2,1,,,,,,,1,1,1,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,20,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
123,2024/11/22 21:13:14,187秒,1,2,1,,,,,,,0,1,1,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,13,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
124,2024/11/23 0:42:19,130秒,1,2,1,,,,,,,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,24,(空),(空),(空),1,0,0,0,0,0,0,0,0,0,0,0,6
125,2024/11/23 13:40:55,118秒,1,2,1,,,,,,,0,1,0,0,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,19,(空),(空),(空),0,0,0,0,0,1,0,0,0,0,0,0,6
